isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol
IE0005MWBFR7,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JGIE,90.0,equity,EUR,Ireland,False,Accumulating,0.25,667.0,JP Morgan Global Research Enhanced Index Equity (ESG),
IE000629MKR4,BNP Paribas Easy ESG Enhanced World UCITS ETF USD Acc,LM9B,9.0,equity,USD,Ireland,False,Accumulating,0.2,686.0,BNP Paribas Easy ESG Enhanced World,
IE00063GNWK1,UBS MSCI USA Selection UCITS ETF USD acc,CSY2,2143.0,equity,USD,Ireland,False,Accumulating,0.1,264.0,MSCI USA Selection,CSY2.DE
IE00069JGT58,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),JSUE,463.0,equity,USD,Ireland,False,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned,
IE0006D3PGW3,Franklin FTSE Emerging ex China UCITS ETF USD Capitalisation,EXCN,3.0,equity,USD,Ireland,False,Accumulating,0.11,940.0,FTSE Emerging ex China,
IE0006FAD976,Franklin S&P 500 Screened UCITS ETF Acc,FSPU,3.0,equity,USD,Ireland,False,Accumulating,0.09,411.0,S&P 500 Guarded,
IE0006FFX5U1,Xtrackers MSCI Innovation UCITS ETF 1C,XNNV,7.0,equity,USD,Ireland,False,Accumulating,0.3,183.0,MSCI ACWI IMI Innovation Select Screened 200,
IE0006FM6MI8,Amundi S&P Global Health Care ESG UCITS ETF DR EUR (A),WELS,254.0,equity,EUR,Ireland,False,Accumulating,0.18,86.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Health Care,
IE0006HMLPV6,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR Hedged (acc),JSHE,128.0,equity,EUR,Ireland,True,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned (EUR Hedged),
IE0006IP4XZ8,Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,WEB2,3037.0,equity,EUR,Ireland,False,Accumulating,0.07,491.0,MSCI USA ESG Broad CTB Select,
IE0006O3TTP9,BNP Paribas Easy ECPI Global ESG Infrastructure UCITS ETF USD Capitalisation,BJLB,23.0,equity,USD,Ireland,False,Accumulating,0.31,100.0,ECPI Global ESG Infrastructure Equity,
IE0006PTRUI8,iShares MSCI EMU Climate Transition Aware UCITS ETF EUR (Acc),MCTA,3.0,equity,EUR,Ireland,False,Accumulating,0.12,155.0,MSCI EMU Transition Aware Select,
IE0006RFB3X2,HSBC MSCI Japan UCITS ETF USD (Acc),HMJA,12.0,equity,USD,Ireland,False,Accumulating,0.12,182.0,MSCI Japan,
IE0006SEWKA2,JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JEEM,7.0,equity,EUR,Ireland,False,Accumulating,0.3,371.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity (ESG),
IE0006VDD4K1,Invesco FTSE All-World UCITS ETF EUR PfHdg Acc,FWEA,34.0,equity,EUR,Ireland,True,Accumulating,0.2,519.0,FTSE All-World (EUR Hedged),
IE0006WOV4I9,Franklin S&P World Screened UCITS ETF Acc,FSPW,6.0,equity,USD,Ireland,False,Accumulating,0.14,807.0,S&P World Guarded,
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,EXUS,4304.0,equity,USD,Ireland,False,Accumulating,0.15,765.0,MSCI World ex USA,
IE000716YHJ7,Invesco FTSE All-World UCITS ETF Acc,FWIA,2243.0,equity,USD,Ireland,False,Accumulating,0.15,519.0,FTSE All-World,
IE00074JLU02,Xtrackers Japan Net Zero Pathway Paris Aligned UCITS ETF 1C,XNJP,115.0,equity,USD,Ireland,False,Accumulating,0.15,231.0,Solactive ISS ESG Japan Net Zero Pathway,
IE00077IIPQ8,WisdomTree Global Efficient Core UCITS ETF USD Unhedged Acc,NTSG,42.0,equity,USD,Ireland,False,Accumulating,0.25,329.0,WisdomTree Global Efficient Core,
IE0007FM00T9,iShares U.S. Equity High Income UCITS ETF USD (Acc),INCI,2.0,equity,USD,Ireland,False,Accumulating,0.35,218.0,iShares U.S. Equity High Income,
IE0007HKA9K1,L&G Global Brands UCITS ETF USD Acc,TOPB,46.0,equity,USD,Ireland,False,Accumulating,0.39,79.0,Solactive BrandFinance Global Brands,
IE0007I99HX7,VanEck Morningstar US Wide Moat UCITS ETF A,WMOT,42.0,equity,USD,Ireland,False,Accumulating,0.46,53.0,Morningstar Wide Moat Focus,
IE0007M3MLF3,WisdomTree Global Quality Dividend Growth UCITS ETF EUR Hedged Acc,WGRU,9.0,equity,EUR,Ireland,True,Accumulating,0.43,474.0,WisdomTree Global Developed Quality Dividend Growth (EUR Hedged),
IE0007P4PBU1,HSBC MSCI China UCITS ETF USD (Acc),H4Z6,127.0,equity,USD,Ireland,False,Accumulating,0.28,560.0,MSCI China,
IE0007QB4QS2,BNP Paribas Easy ESG Enhanced World UCITS ETF EUR Capitalisation,LM9C,403.0,equity,EUR,Ireland,False,Accumulating,0.2,686.0,BNP Paribas Easy ESG Enhanced World,
IE0007UJ6IE0,Invesco Dow Jones US Insurance UCITS ETF Acc,INSU,106.0,equity,USD,Ireland,False,Accumulating,0.35,55.0,Dow Jones U.S. Select Insurance,
IE0007ULOZS8,Xtrackers S&P 500 Scored & Screened UCITS ETF 1C,XZSP,94.0,equity,USD,Ireland,False,Accumulating,0.08,314.0,S&P 500 Scored & Screened,
IE0007WJ6B10,Xtrackers MSCI Global Clean Water & Sanitation UCITS ETF 1C,XDG6,7.0,equity,USD,Ireland,False,Accumulating,0.35,75.0,MSCI ACWI IMI SDG 6 Clean Water and Sanitation Select,
IE0007WMHDE3,HANetf Making Europe Great Again UCITS ETF Acc,ASWA,5.0,equity,EUR,Ireland,False,Accumulating,0.6,58.0,VettaFi Making Europe Great Again,
IE00085PWS28,Amundi MSCI World Ex USA UCITS ETF Acc,WEXE,504.0,equity,USD,Ireland,False,Accumulating,0.15,775.0,MSCI World ex USA,
IE0008D0AIU9,BNP Paribas Easy MSCI World Equal Weight Select UCITS ETF EUR Acc,ESAE,30.0,equity,EUR,Ireland,False,Accumulating,0.2,1048.0,MSCI World Equal Weighted Ex Business Involvement Screens Select,
IE0008FB2WZ1,BNP Paribas Easy MSCI World Min TE UCITS ETF USD Acc,ASRW,124.0,equity,USD,Ireland,False,Accumulating,0.16,1025.0,MSCI World Select Filtered Min TE,
IE0008JXFQK8,HSBC PLUS USA Equity Quant Active UCITS ETF USD Acc,H41Z,74.0,equity,USD,Ireland,False,Accumulating,0.15,315.0,HSBC PLUS USA Equity Quant Active,
IE0008M1R3N4,Franklin US Mega Cap 100 UCITS ETF Acc,USMC,90.0,equity,USD,Ireland,False,Accumulating,0.09,101.0,Solactive US Mega Cap 100 Select,
IE0008RX29L5,Invesco Wind Energy UCITS ETF Acc,WDEY,6.0,equity,USD,Ireland,False,Accumulating,0.6,71.0,WilderHill Wind Energy,
IE0008YN0OY8,Xtrackers MSCI World Minimum Volatility ESG UCITS ETF 1C,XWEB,16.0,equity,USD,Ireland,False,Accumulating,0.25,275.0,MSCI World Minimum Volatility Low Carbon SRI Screened Select,
IE00094GSCQ4,Xtrackers World Equity Enhanced Active UCITS ETF 1C,XEEW,309.0,equity,USD,Ireland,False,Accumulating,0.25,346.0,Xtrackers World Equity Enhanced Active,
IE00099GAJC6,iShares MSCI China A UCITS ETF EUR Hedged (Acc),CNYE,344.0,equity,EUR,Ireland,True,Accumulating,0.45,385.0,MSCI China A Inclusion (EUR Hedged),
IE0009DRDY20,Amundi Prime Global UCITS ETF Acc,F50A,1093.0,equity,USD,Ireland,False,Accumulating,0.05,1388.0,Solactive GBS Developed Markets Large & Mid Cap,
IE0009EGAHL0,Invesco US Enhanced Equity UCITS ETF Acc,IQUA,51.0,equity,USD,Ireland,False,Accumulating,0.16,233.0,Invesco US Enhanced Equity,
IE0009QS7W62,iShares MSCI World Health Care Sector Advanced UCITS ETF USD (Acc),CBUR,161.0,equity,USD,Ireland,False,Accumulating,0.18,117.0,MSCI World Health Care Advanced Select 20 35 Capped,
IE0009TJ5T70,JPMorgan Carbon Transition Global Equity (CTB) UCITS ETF EUR (acc),JPEC,131.0,equity,EUR,Ireland,False,Accumulating,0.19,359.0,Solactive JP Morgan Asset Management Carbon Transition Global Equity,
IE0009VWHAE6,iShares US Equity Enhanced Active UCITS ETF USD (Acc),USEE,906.0,equity,USD,Ireland,False,Accumulating,0.2,254.0,iShares US Equity Enhanced Active,
IE0009W21NT4,UBS MSCI World Selection UCITS ETF hEUR acc,CSY7,44.0,equity,EUR,Ireland,True,Accumulating,0.18,649.0,MSCI World Selection (EUR Hedged),CSY7.DE
IE0009WWNY77,UBS S&P 500 Climate Transition ESG UCITS ETF hEUR acc,BCFG,1.0,equity,EUR,Ireland,True,Accumulating,0.1,309.0,S&P 500® Climate Transition Base ESG (EUR Hedged),
IE0009Y1MQJ2,iShares World Equity Factor Rotation Active UCITS ETF USD (Acc),FCRN,244.0,equity,USD,Ireland,False,Accumulating,0.3,148.0,iShares World Equity Factor Rotation Active,
IE0009YQE5W1,JPMorgan UK Equity Core UCITS ETF GBP (acc),JUKC,416.0,equity,GBP,Ireland,False,Accumulating,0.25,144.0,JP Morgan UK Equity Core,
IE000A0GH076,BNP Paribas Easy MSCI World UCITS ETF EUR Acc,ESAN,63.0,equity,EUR,Ireland,False,Accumulating,0.05,1319.0,MSCI World,
IE000A7N3IV0,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF USD (acc),JRWA,172.0,equity,USD,Ireland,False,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active,
IE000A89Y2G7,iShares MSCI World Utilities Sector Advanced UCITS ETF USD (Acc),WUTS,7.0,equity,USD,Ireland,False,Accumulating,0.18,55.0,MSCI World Utilities Advanced Select 20 35 Capped,
IE000ALI2E45,BNP Paribas Easy MSCI World Equal Weight Select UCITS ETF USD Acc,ESAF,22.0,equity,USD,Ireland,False,Accumulating,0.2,1048.0,MSCI World Equal Weighted Ex Business Involvement Screens Select,
IE000AN3AFZ1,Jupiter Origin Global Smaller Companies Active UCITS ETF (Acc),JOGS,1.0,equity,USD,Ireland,False,Accumulating,0.45,181.0,Jupiter Origin Global Smaller Companies Active,
IE000ANHU3J3,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (acc),JMES,116.0,equity,USD,Ireland,False,Accumulating,0.3,280.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active,
IE000ATRYEA4,iShares MSCI USA SRI UCITS ETF EUR Hedged (Acc),CEMI,6.0,equity,EUR,Ireland,True,Accumulating,0.23,153.0,MSCI USA SRI Select Reduced Fossil Fuels (EUR Hedged),
IE000AV35A01,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),JESM,2.0,equity,EUR,Ireland,False,Accumulating,0.3,280.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active,
IE000AZOUN82,Franklin MSCI World Catholic Principles UCITS ETF USD Capitalisation,FLXA,149.0,equity,USD,Ireland,False,Accumulating,0.27,629.0,MSCI World Select Catholic Principles ESG Universal and Low Carbon,
IE000AZV0AS3,Amundi MSCI World IMI Value Advanced UCITS ETF Acc,WMMS,193.0,equity,USD,Ireland,False,Accumulating,0.25,344.0,MSCI World IMI Value Advanced Target,
IE000BAF6X29,UBS MSCI Pacific ex Japan IMI Socially Responsible UCITS ETF hEUR acc,PEXE,2.0,equity,EUR,Ireland,True,Accumulating,0.22,137.0,MSCI Pacific ex Japan IMI Extended SRI Low Carbon Select 5% Issuer Capped (EUR Hedged),
IE000BI8OT95,Amundi Core MSCI World UCITS ETF Acc,MWRE,12149.0,equity,USD,Ireland,False,Accumulating,0.12,1321.0,MSCI World,
IE000BKMMHF9,UBS MSCI Pacific ex Japan IMI Socially Responsible UCITS ETF USD acc,BCFB,4.0,equity,USD,Ireland,False,Accumulating,0.19,137.0,MSCI Pacific ex Japan IMI Extended SRI Low Carbon Select 5% Issuer Capped,
IE000BO2Y0T8,Xtrackers MSCI Nordic UCITS ETF 1C,XMN1,41.0,equity,EUR,Ireland,False,Accumulating,0.3,80.0,MSCI Nordic Countries,
IE000BRM9046,Invesco Defence Innovation UCITS ETF Acc,IVDF,98.0,equity,USD,Ireland,False,Accumulating,0.35,56.0,S&P Kensho Global Future Defense,
