isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,1 year,3 year,5 year
DE000A2QP4B6,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Acc),EXIE,849.0,equity,EUR,Germany,False,Accumulating,0.2,600.0,STOXX® Europe 600,,+14.96%,-,-
DE000A2QP4C4,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Acc),EXIF,4.0,equity,EUR,Germany,False,Accumulating,0.51,53.0,Dow Jones Global Titans 50,,-,-,-
FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,LYSX,3923.0,equity,EUR,France,False,Accumulating,0.2,54.0,EURO STOXX® 50,LYSX.BE,+14.47%,+54.12%,+86.46%
FR0010261198,Amundi MSCI Europe UCITS ETF Acc,LYY5,611.0,equity,EUR,France,False,Accumulating,0.25,406.0,MSCI Europe,LYY5.BE,+15.73%,+44.74%,+72.18%
FR0010655704,Amundi CAC Transition Climat UCITS ETF,X13J,11.0,equity,EUR,France,False,Accumulating,0.25,69.0,CAC Transition Climat,X13J.BE,+4.34%,+21.55%,+55.17%
FR0010821819,Amundi ETF MSCI Europe Ex EMU ESG Leaders UCITS ETF,540H,230.0,equity,EUR,France,False,Accumulating,0.3,109.0,MSCI Europe ex EMU ESG Leaders Select 5% Issuer Capped,,+6.80%,+29.11%,+58.07%
FR0011720911,Amundi MSCI China A UCITS ETF Acc,CNAA,139.0,equity,USD,France,False,Accumulating,0.35,384.0,MSCI China A,CNAA.BE,+13.12%,+3.23%,-16.29%
FR0011758085,Amundi FTSE Italia PMI PIR 2020 UCITS ETF Acc,ITAMID,181.0,equity,EUR,France,False,Accumulating,0.4,74.0,FTSE Italia PIR PMI,ITAMID.MI,+25.33%,+49.49%,+69.72%
FR0012399731,Amundi EURO STOXX 50 II UCITS ETF CHF Hedged Acc,MSEC,87.0,equity,CHF,France,True,Accumulating,0.2,54.0,EURO STOXX® 50 (CHF Hedged),,+17.37%,+57.43%,+106.26%
FR0012399772,Amundi EURO STOXX 50 II UCITS ETF GBP Hedged Acc,NK4B,23.0,equity,GBP,France,True,Accumulating,0.2,54.0,EURO STOXX® 50 (GBP Hedged),,+11.64%,+63.97%,+100.55%
FR0012399806,Amundi EURO STOXX 50 II UCITS ETF USD Hedged Acc,LYQ4,101.0,equity,USD,France,True,Accumulating,0.2,54.0,EURO STOXX® 50 (USD Hedged),LYQ4.BE,+2.53%,+47.68%,+110.22%
FR0013209921,Amundi MSCI World Ex EMU SRI Climate Paris Aligned UCITS ETF Acc,WLDX,4.0,equity,USD,France,False,Accumulating,0.35,231.0,MSCI World ex EMU SRI Filtered PAB,WLDX.MI,+0.07%,+34.85%,+53.26%
