isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
IE000P16KP52,First Trust Nasdaq Cybersecurity UCITS ETF EUR Hedged Acc,CBEU,67.0,equity,EUR,Ireland,True,Accumulating,0.6,31.0,Nasdaq CTA Cybersecurity (EUR Hedged),CBEU5.MI,EUR 81 m,23.43%,+8.61%,-,-
IE000P1IQS65,iShares World Equity Enhanced Active UCITS ETF EUR Hedged (Acc),R730,191.0,equity,EUR,Ireland,True,Accumulating,0.3,566.0,iShares World Equity Enhanced Active (EUR Hedged),,EUR 170 m,10.95%,+25.85%,-,-
IE000P3D0W60,WisdomTree Renewable Energy UCITS ETF USD Unhedged Acc,WRNW,19.0,equity,USD,Ireland,False,Accumulating,0.45,81.0,WisdomTree Renewable Energy,,EUR 43 m,23.82%,+115.80%,-,-
IE000P4AYI47,Xtrackers MSCI World Climate Transition UCITS ETF,XCTW,22.0,equity,USD,Ireland,False,Accumulating,0.04,922.0,MSCI World Select Sustainability Screened CTB,,EUR 21 m,10.30%,+22.11%,+60.76%,-
IE000PEAJOT0,Amundi MSCI USA ESG Selection UCITS ETF Acc,SADU,458.0,equity,USD,Ireland,False,Accumulating,0.15,286.0,MSCI USA ESG Selection P-Series 5% Issuer Capped,SADU.DE,EUR 454 m,12.99%,+24.21%,+66.08%,+88.85%
IE000PJL7R74,Invesco MSCI Emerging Markets ESG Climate Paris Aligned UCITS ETF Acc,PAUM,127.0,equity,USD,Ireland,False,Accumulating,0.19,232.0,MSCI Emerging Markets ESG Climate Paris Aligned Benchmark Select,,EUR 169 m,15.78%,+35.52%,+54.15%,-
IE000PMX0MW6,Amundi S&P Global Utilities ESG UCITS ETF DR EUR (A),WELD,143.0,equity,EUR,Ireland,False,Accumulating,0.18,49.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Utilities,,EUR 141 m,11.45%,+17.68%,+41.47%,-
IE000PNL0242,Fidelity US Fundamental Small-Mid Cap UCITS ETF ACC-USD,FFSM,,equity,USD,Ireland,False,Accumulating,0.43,,Fidelity US Fundamental Small-Mid Cap,,EUR - m,-,-,-,-
IE000PPEL1I4,Investlinx Balanced Income UCITS ETF ETF A EUR Capitalisation,LNXB,44.0,equity,EUR,Ireland,False,Accumulating,0.85,53.0,Investlinx Balanced Income,,EUR 44 m,7.80%,+1.08%,+18.13%,-
IE000PS0J481,Global X European Infrastructure Development UCITS ETF EUR Accumulating,B41J,257.0,equity,EUR,Ireland,False,Accumulating,0.47,37.0,Mirae Asset European Infrastructure Development,,EUR 563 m,14.11%,+12.60%,-,-
IE000PSF3A70,Xtrackers MSCI Global SDGs UCITS ETF 1C,XDGI,6.0,equity,USD,Ireland,False,Accumulating,0.35,222.0,MSCI ACWI IMI SDG Impact Select,,EUR 7 m,11.04%,+19.56%,+14.05%,-
IE000PWGE381,UBS Nasdaq-100 ESG Enhanced UCITS ETF USD acc,BCFM,2.0,equity,USD,Ireland,False,Accumulating,0.15,89.0,Nasdaq 100® Sustainable ESG Select,,EUR 3 m,16.48%,+46.72%,-,-
IE000PY7F8J9,Rize USA Environmental Impact UCITS ETF USD Acc,RIZJ,8.0,equity,USD,Ireland,False,Accumulating,0.45,83.0,Foxberry SMS USA Environmental Impact,,EUR 8 m,23.02%,+51.09%,-,-
IE000PYEKKW0,iShares MSCI Europe Quality Dividend Advanced UCITS ETF EUR (Acc),CEML,3.0,equity,EUR,Ireland,False,Accumulating,0.28,82.0,MSCI Europe High Dividend Yield Advanced Select,,EUR 11 m,-,-,-,-
